"","pap_research","pub_research","effect_rate","share","use_opp","benefits","reusecost","cost","time","Publ","impact"
"6204",2.94774580453181,0.339242277425217,2.98449158527969,0,0,0,0,0,0.339,2.95,2.95
"6205",2.30123826129591,0.43454865878897,2.46082689755454,0,0,0,0,0,0.435,2.299,2.299
"6206",10.5321587137344,0.0949472968628891,10.0516916878691,1,2,0.041,0.001,0.041,0.095,10.526,10.526
"6207",5.01601620623696,0.199361397348874,4.81705030402933,1,1,0.032,0.001,0.041,0.206,4.854,4.854
"6208",13.8165372972798,0.0723770347434938,13.7780793590397,1,2,0.029,0,0.041,0.075,13.333,13.333
"6209",7.56696203051723,0.132153431716327,6.92333086683244,1,4,0.106,0.001,0.041,0.108,9.259,9.259
"6210",7.95967957858644,0.125633197935537,7.82974732428776,1,1,0.024,0,0.041,0.133,7.519,7.519
"6211",0.421849288694063,2.37051484215072,0.457535399771087,1,0,0,0,0.041,2.666,0.375,0.375
"6212",3.99830766229731,0.250105815875467,4.1288135879237,0,0,0,0,0,0.25,4,4
"6213",0.41786755778277,2.39310274601374,0.415960897444393,0,0,0,0,0,2.393,0.418,0.418
"6214",0.326505280315116,3.06273760422766,0.354095597793037,1,0,0,0,0.041,3.461,0.289,0.289
"6215",0.981638564694524,1.01870488381963,0.915529407981306,1,0,0,0,0.041,1.13,0.885,0.885
"6216",0.222970661155101,4.48489498492534,0.242489744355704,1,0,0,0,0.041,5.009,0.2,0.2
"6217",1.76315113633004,0.567166353124712,1.68654495086778,0,0,0,0,0,0.567,1.764,1.764
"6218",1.63013549498652,0.613445939356269,1.47454973283699,1,0,0,0,0.041,0.688,1.453,1.453
"6219",2.38612010667024,0.419090387447206,2.26369584883743,1,1,0.079,0.001,0.041,0.375,2.667,2.667
"6220",1.97329581538326,0.506766391639957,2.01620111475397,1,1,0.086,0.001,0.041,0.435,2.299,2.299
"6221",0.610650346362545,1.63759835060553,0.630104813208046,0,0,0,0,0,1.638,0.611,0.611
"6222",2.17881902167293,0.458964232482322,2.0141928759817,1,0,0,0,0.041,0.52,1.923,1.923
"6223",1.83783706236496,0.544117876648532,1.72901762727564,1,0,0,0,0.041,0.619,1.616,1.616
"6224",0.335656963271999,2.97923210128566,0.3181199477983,0,0,0,0,0,2.979,0.336,0.336
"6225",1.76651782581831,0.566085428284183,1.76569402849131,0,1,0.107,0.002,0,0.388,2.577,2.577
"6226",5.6507347166097,0.176968137799959,6.02487872205262,0,3,0.112,0.001,0,0.121,8.264,8.264
"6227",6.42492087153938,0.155643940212513,6.34721169002073,0,5,0.154,0.002,0,0.083,12.048,12.048
"6228",0.568076606155233,1.76032596513355,0.602129386691017,1,0,0,0,0.041,1.982,0.505,0.505
"6229",2.72115117269917,0.367491527127497,2.91024546468365,1,1,0.076,0.001,0.041,0.33,3.03,3.03
"6230",3.62519275925501,0.275847400789111,3.88023402675955,1,0,0,0,0.041,0.313,3.195,3.195
"6231",4.24895873700437,0.235351779552707,4.41622516846115,0,0,0,0,0,0.235,4.255,4.255
"6232",4.88569488773347,0.204679175220438,5.28003278233123,1,1,0.038,0.001,0.041,0.208,4.808,4.808
"6233",7.89844421468526,0.126607211853284,7.80178355416808,1,1,0.027,0,0.041,0.131,7.634,7.634
"6234",10.1994015923982,0.0980449677307851,11.0146051063195,0,2,0.042,0.001,0,0.086,11.628,11.628
